pair_id,environment,condition,checkpoint,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-5c6613e295e01df1,launch2,read_disabled,16,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,32,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,32,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,64,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,64,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,read_disabled,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,16,primary,0.0,0.046875,0.0,0.0,-0.046875,0.0,-0.046875,0.0,0.0234375,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,16,terminal,0.015625,0.203125,0.0,0.0,-0.1875,0.0,-0.1875,0.0078125,0.109375,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,32,primary,0.0,0.125,0.0,0.0,-0.125,0.0,-0.125,0.0,0.0625,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,32,terminal,0.0,0.203125,0.0,0.0,-0.203125,0.0,-0.203125,0.0,0.1015625,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,64,primary,0.328125,0.640625,0.328125,0.0625,-0.3125,-0.265625,-0.3125,0.1953125,0.6796875,1.0
fresh-3-5c6613e295e01df1,launch2,shuffle,64,terminal,0.28125,0.59375,0.359375,0.109375,-0.3125,-0.25,-0.3125,0.1953125,0.671875,1.0
