definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,half,left_arm,right_arm,contrast,estimate,ci95_lower,ci95_upper,matrices,states,expected_positive_direction
13,h0.88_f08_r3,0.88,8,3,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.033875,0.02902734375,0.0401390625,200,1000,True
13,h0.88_f08_r3,0.88,8,3,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0605625,0.05243359375,0.06961484374999999,200,1000,True
13,h0.88_f08_r3,0.88,8,3,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00084375,-0.0061562499999999985,0.004545312499999998,200,1000,False
13,h0.88_f08_r3,0.88,8,3,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0930625,0.08271171875,0.1037640625,200,1000,True
13,h0.88_f08_r3,0.88,8,3,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.034375,0.027923437500000002,0.04145234374999998,200,1000,True
13,h0.88_f08_r3,0.88,8,3,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0586875,0.050875000000000004,0.06762499999999999,200,1000,True
13,h0.88_f08_r3,0.88,8,3,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00090625,-0.005999999999999998,0.004694531249999999,200,1000,False
14,h0.88_f08_r4,0.88,8,4,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.08528125,0.07591953124999999,0.09420156249999999,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.031375,0.025687499999999995,0.036875,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05390625,0.0459265625,0.06149374999999999,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00134375,-0.00600390625,0.0033265624999999984,200,1000,False
14,h0.88_f08_r4,0.88,8,4,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.08175,0.07194375000000001,0.09235078125,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.032875,0.026176562500000004,0.0388125,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.048875,0.04164921875,0.0562953125,200,1000,True
14,h0.88_f08_r4,0.88,8,4,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.00140625,-0.00328828125,0.005927343749999996,200,1000,False
15,h0.88_f10_r2,0.88,10,2,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.093375,0.082628125,0.10576171875,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.03378125,0.0277671875,0.04031953125,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05959375,0.050329687500000005,0.06966328124999999,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,0.00103125,-0.00483359375,0.006170312499999999,200,1000,False
15,h0.88_f10_r2,0.88,10,2,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.08821875,0.077409375,0.0993890625,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.03275,0.0254265625,0.040135937499999996,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05546875,0.04661796875,0.06425,200,1000,True
15,h0.88_f10_r2,0.88,10,2,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.0025,-0.0032812499999999994,0.008406249999999999,200,1000,False
16,h0.88_f10_r3,0.88,10,3,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.094125,0.08183203124999999,0.10528515625,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0338125,0.0274546875,0.0396703125,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0603125,0.05149296875,0.0698234375,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,6.25e-05,-0.00510078125,0.005632031249999999,200,1000,False
16,h0.88_f10_r3,0.88,10,3,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.09209375,0.07993984375,0.10410781250000001,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.033125,0.02607265625,0.03940625,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05896875,0.050877343750000005,0.06766328125,200,1000,True
16,h0.88_f10_r3,0.88,10,3,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.00090625,-0.0054132812500000006,0.0068890624999999985,200,1000,False
17,h0.88_f10_r4,0.88,10,4,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0924375,0.08294765624999999,0.1039765625,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.03290625,0.026485937499999997,0.0386390625,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05953125,0.04996875,0.06848984374999999,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0001875,-0.005882031250000001,0.0051632812499999995,200,1000,False
17,h0.88_f10_r4,0.88,10,4,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0879375,0.07778750000000001,0.09869453125000002,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.03178125,0.02568359375,0.03854218749999999,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05615625,0.04783671875,0.06491328125,200,1000,True
17,h0.88_f10_r4,0.88,10,4,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00028125,-0.00572578125,0.005264843749999988,200,1000,False
18,h0.88_f12_r2,0.88,12,2,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.08478125,0.07329843750000001,0.09561484374999998,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.03096875,0.0245,0.03825156249999998,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0538125,0.04547890625,0.062996875,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,6.25e-05,-0.0055734375,0.0064375,200,1000,False
18,h0.88_f12_r2,0.88,12,2,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.07846875,0.0685484375,0.09053125,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.026625,0.019711718750000003,0.03298984375,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.05184375,0.04421875,0.060625,200,1000,True
18,h0.88_f12_r2,0.88,12,2,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.00065625,-0.00494453125,0.006205468749999992,200,1000,False
19,h0.88_f12_r3,0.88,12,3,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0899375,0.0781171875,0.10110078125,200,1000,True
