pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-1-17bdb9132e8bf8a3,phenotype,no_rewrite,16,0.49609375,False
renewal-v2-1-17bdb9132e8bf8a3,phenotype,read_disabled,16,0.0,False
renewal-v2-1-17bdb9132e8bf8a3,phenotype,rescue_opposite_enter_g4,16,0.6640625,True
renewal-v2-1-17bdb9132e8bf8a3,phenotype,rescue_same_enter_g4,16,0.6640625,False
renewal-v2-2-45b651958de2d5bd,carrier,ablate_after_g2,16,0.0,False
renewal-v2-2-45b651958de2d5bd,carrier,intact,16,0.5390625,False
renewal-v2-2-45b651958de2d5bd,carrier,no_rewrite,16,1.0,False
renewal-v2-2-45b651958de2d5bd,carrier,read_disabled,16,0.0,False
renewal-v2-2-45b651958de2d5bd,carrier,rescue_opposite_enter_g4,16,0.5390625,True
renewal-v2-2-45b651958de2d5bd,carrier,rescue_same_enter_g4,16,0.5390625,False
renewal-v2-2-45b651958de2d5bd,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-2-45b651958de2d5bd,phenotype,intact,16,0.51953125,False
renewal-v2-2-45b651958de2d5bd,phenotype,no_rewrite,16,0.48828125,False
renewal-v2-2-45b651958de2d5bd,phenotype,read_disabled,16,0.0,False
renewal-v2-2-45b651958de2d5bd,phenotype,rescue_opposite_enter_g4,16,0.51953125,True
renewal-v2-2-45b651958de2d5bd,phenotype,rescue_same_enter_g4,16,0.51953125,False
renewal-v2-0-74584e6fc3b5578e,carrier,ablate_after_g2,16,0.0,False
