state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c03-m125-g080,03,125,80,80,38,14,4122185706555662eb3833d7e1f5ed16a18371a6b6748926597452d66900a5d1
VALI-c02-m126-g020,02,126,20,20,40,18,c9408201639a70108114fbba27010d09c9e9ddaf82a7b1d4b8f35be87f1fc297
VALI-c02-m126-g035,02,126,35,35,40,17,81673f5eb6b74d52296a39682b956529875201b67c6558cb947b0ee90d24577b
VALI-c02-m126-g050,02,126,50,50,40,12,5b5416d7ddfcb77aba00e3ee9d996a89456ab3bbba3035a4a50d334720391d7c
VALI-c02-m126-g065,02,126,65,65,40,21,661a54cf595bb46c8277de996f8fb87f4c656e05a3f81d5d830ec4b5e613f7d1
VALI-c02-m126-g080,02,126,80,80,40,17,7b59fdb9ceba6b6f596b62f438ad7be7ab28c13a7c1537773640dfbd1b8fcf51
VALI-c03-m126-g020,03,126,20,20,38,17,e43818308728c00d150483434ba16546fcc8c891622600f086f9f1ff0a1ec3a8
VALI-c03-m126-g035,03,126,35,35,37,18,8559d619917d3749bfd50408ea3fafb599a939a8eb4f206ea39f3b05c285a38f
VALI-c03-m126-g050,03,126,50,50,41,12,77caa911be64342a9d7608d12a677cd126239618ead14be548af06bf72dcf13e
VALI-c03-m126-g065,03,126,65,65,44,19,0cb3ad888b260f5d90d888ac2a1433bee65d7b27bf55ca22204b1a35287f0235
VALI-c03-m126-g080,03,126,80,80,42,18,b4c6ef130f7d1e5f71e40e3702bed3cf6f58cfd2cec67cd4fc1896002d0de722
VALI-c02-m127-g020,02,127,20,20,40,20,fd0285fdd419b23561d77f72523145038a4df11af4f51785dda04e8b4eac089b
VALI-c02-m127-g035,02,127,35,35,40,15,cab08739762f65e555b67dbea4bc78fd962d357e751573f9b263af1d5c40e235
VALI-c02-m127-g050,02,127,50,50,40,24,9bc65582d1936443164503b866be1d769d8bf4a6890fe45eb424a06a48c684e8
VALI-c02-m127-g065,02,127,65,65,40,23,e8f91df24a2cebe84dfabee4d52bf3528db9b131f815c23b7670e3d7cad9be3c
