scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c03_B,03,B,39,0.125,0.25,-0.0625,-0.0625,-0.0625,0.1875,-0.125
landmark60,c03_B,03,B,40,0.125,0.125,0.0,-0.0625,-0.0625,0.1875,0.0
landmark60,c03_B,03,B,41,0.0625,0.1875,-0.0625,0.0,0.0625,0.0,-0.125
landmark60,c03_B,03,B,42,0.5,0.125,0.0,-0.25,0.1875,0.3125,0.375
landmark60,c03_B,03,B,43,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0
landmark60,c03_B,03,B,44,0.0,0.0,-0.1875,-0.125,-0.1875,0.1875,0.0
landmark60,c03_B,03,B,45,0.0,-0.125,-0.25,-0.125,-0.25,0.25,0.125
landmark60,c03_B,03,B,46,-0.25,0.0625,-0.0625,0.0625,-0.125,-0.125,-0.3125
landmark60,c03_B,03,B,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,49,0.125,0.0,0.0,0.0,0.0,0.125,0.125
landmark60,c03_B,03,B,50,0.4375,0.0,0.25,0.125,0.4375,0.0,0.4375
landmark60,c03_B,03,B,51,-0.0625,0.0,-0.1875,-0.0625,-0.125,0.0625,-0.0625
landmark60,c03_B,03,B,52,0.375,-0.125,0.0,0.1875,0.375,0.0,0.5
landmark60,c03_B,03,B,53,0.0625,-0.4375,-0.125,-0.3125,-0.25,0.3125,0.5
landmark60,c03_B,03,B,54,0.25,-0.375,0.0,-0.0625,0.0,0.25,0.625
landmark60,c03_B,03,B,55,0.1875,0.0,-0.1875,-0.125,0.0,0.1875,0.1875
landmark60,c03_B,03,B,56,0.25,0.125,-0.1875,0.0,0.0625,0.1875,0.125
landmark60,c03_B,03,B,57,0.1875,0.0,-0.1875,-0.1875,0.0,0.1875,0.1875
landmark60,c03_B,03,B,58,0.0625,0.0,-0.125,-0.1875,-0.125,0.1875,0.0625
landmark60,c03_B,03,B,59,0.1875,-0.1875,0.375,0.0625,0.3125,-0.125,0.375
landmark60,c03_B,03,B,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,61,0.0,-0.3125,-0.3125,-0.25,-0.0625,0.0625,0.3125
landmark60,c03_B,03,B,62,0.0,0.0,-0.3125,-0.0625,-0.25,0.25,0.0
landmark60,c03_B,03,B,63,0.0625,0.125,-0.125,-0.0625,-0.125,0.1875,-0.0625
landmark60,c03_B,03,B,64,0.125,0.0625,-0.375,-0.0625,-0.125,0.25,0.0625
landmark60,c03_B,03,B,65,0.25,-0.0625,-0.1875,-0.125,0.0625,0.1875,0.3125
landmark60,c03_B,03,B,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,67,0.25,0.125,-0.0625,0.0,0.3125,-0.0625,0.125
landmark60,c03_B,03,B,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_B,03,B,69,0.0625,-0.125,0.25,0.0,0.0625,0.0,0.1875
landmark60,c03_B,03,B,70,0.0625,0.0,0.125,0.0,0.0625,0.0,0.0625
landmark60,c03_B,03,B,71,0.5625,-0.125,-0.1875,0.0625,0.0625,0.5,0.6875
landmark60,c03_B,03,B,72,0.0,0.0,-0.0625,-0.0625,-0.0625,0.0625,0.0
landmark60,c03_B,03,B,73,0.125,-0.125,-0.125,-0.0625,0.0625,0.0625,0.25
landmark60,c03_B,03,B,74,0.0625,0.25,-0.3125,-0.0625,0.0,0.0625,-0.1875
landmark60,c03_B,03,B,75,0.0,-0.0625,0.125,0.0625,-0.1875,0.1875,0.0625
landmark60,c03_B,03,B,76,0.1875,-0.0625,-0.0625,0.0625,0.1875,0.0,0.25
landmark60,c03_B,03,B,77,0.25,0.1875,-0.375,0.0625,0.0625,0.1875,0.0625
landmark60,c03_B,03,B,78,0.25,0.1875,-0.0625,0.0625,0.125,0.125,0.0625
landmark60,c03_B,03,B,79,0.4375,-0.3125,0.125,0.0,0.3125,0.125,0.75
five_landmark_generalization,c02_A,02,A,0,0.175,0.1,-0.1375,-0.05,0.075,0.1,0.075
five_landmark_generalization,c02_A,02,A,1,0.0625,-0.0125,0.0125,-0.025,0.1,-0.0375,0.075
five_landmark_generalization,c02_A,02,A,2,0.275,0.1,-0.075,-0.05,0.1375,0.1375,0.175
five_landmark_generalization,c02_A,02,A,3,0.0125,0.0375,0.075,0.0375,0.125,-0.1125,-0.025
five_landmark_generalization,c02_A,02,A,4,0.0,0.0125,-0.0125,0.0,0.0125,-0.0125,-0.0125
five_landmark_generalization,c02_A,02,A,5,0.1625,-0.1,0.075,-0.025,0.05,0.1125,0.2625
five_landmark_generalization,c02_A,02,A,6,0.2875,0.0875,-0.2,-0.1,-0.0125,0.3,0.2
five_landmark_generalization,c02_A,02,A,7,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125
five_landmark_generalization,c02_A,02,A,8,0.15,0.0125,-0.075,-0.025,0.05,0.1,0.1375
five_landmark_generalization,c02_A,02,A,9,0.225,0.05,-0.0375,-0.025,0.1875,0.0375,0.175
five_landmark_generalization,c02_A,02,A,10,0.125,-0.025,0.025,0.0,0.125,0.0,0.15
five_landmark_generalization,c02_A,02,A,11,0.05,0.025,-0.025,0.0,0.0375,0.0125,0.025
five_landmark_generalization,c02_A,02,A,12,0.0625,-0.0375,-0.05,-0.025,0.0625,0.0,0.1
five_landmark_generalization,c02_A,02,A,13,0.075,-0.1,0.025,0.0,0.1,-0.025,0.175
five_landmark_generalization,c02_A,02,A,14,0.2,-0.05,0.05,0.0125,0.075,0.125,0.25
five_landmark_generalization,c02_A,02,A,15,0.1625,0.1125,-0.0625,0.0375,0.1125,0.05,0.05
five_landmark_generalization,c02_A,02,A,16,0.275,0.0375,0.1625,-0.0375,0.175,0.1,0.2375
five_landmark_generalization,c02_A,02,A,17,0.025,0.0375,-0.0125,0.0125,0.0375,-0.0125,-0.0125
five_landmark_generalization,c02_A,02,A,18,0.2375,0.05,-0.0625,-0.0625,0.0125,0.225,0.1875
five_landmark_generalization,c02_A,02,A,19,0.05,0.075,-0.0125,-0.0375,0.0,0.05,-0.025
five_landmark_generalization,c02_A,02,A,20,0.1375,0.025,-0.05,-0.1,0.0,0.1375,0.1125
five_landmark_generalization,c02_A,02,A,21,0.4375,0.05,0.0375,0.075,0.3125,0.125,0.3875
five_landmark_generalization,c02_A,02,A,22,-0.025,-0.0625,-0.075,-0.025,-0.0625,0.0375,0.0375
five_landmark_generalization,c02_A,02,A,23,0.275,-0.0125,0.075,-0.025,0.125,0.15,0.2875
five_landmark_generalization,c02_A,02,A,24,0.2625,0.075,-0.0875,-0.075,0.075,0.1875,0.1875
five_landmark_generalization,c02_A,02,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,26,0.175,0.025,-0.125,0.1125,0.125,0.05,0.15
five_landmark_generalization,c02_A,02,A,27,0.025,0.0,0.0125,0.0,0.025,0.0,0.025
five_landmark_generalization,c02_A,02,A,28,0.275,0.125,-0.0375,-0.0875,0.0375,0.2375,0.15
five_landmark_generalization,c02_A,02,A,29,0.0625,0.0125,-0.1,-0.15,-0.05,0.1125,0.05
five_landmark_generalization,c02_A,02,A,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,31,0.0,0.0,0.0125,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,32,0.0125,-0.1,-0.1625,-0.0125,-0.15,0.1625,0.1125
five_landmark_generalization,c02_A,02,A,33,0.075,0.1,0.15,0.025,0.025,0.05,-0.025
five_landmark_generalization,c02_A,02,A,34,0.2125,-0.025,-0.0375,0.1125,0.05,0.1625,0.2375
five_landmark_generalization,c02_A,02,A,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,36,0.0,0.0,0.025,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,37,0.1125,-0.075,0.0125,0.1125,0.1125,0.0,0.1875
five_landmark_generalization,c02_A,02,A,38,0.05,-0.0125,0.075,0.0625,0.075,-0.025,0.0625
five_landmark_generalization,c02_A,02,A,39,0.0875,0.1,-0.0375,-0.075,0.0,0.0875,-0.0125
five_landmark_generalization,c02_A,02,A,40,-0.0125,0.075,0.05,-0.025,-0.025,0.0125,-0.0875
five_landmark_generalization,c02_A,02,A,41,0.2125,0.0875,0.075,0.0625,0.1125,0.1,0.125
five_landmark_generalization,c02_A,02,A,42,0.1875,-0.0375,0.1,0.025,0.175,0.0125,0.225
five_landmark_generalization,c02_A,02,A,43,0.05,0.0125,0.0375,0.05,0.0375,0.0125,0.0375
five_landmark_generalization,c02_A,02,A,44,0.0625,0.0625,0.025,0.1125,0.15,-0.0875,0.0
five_landmark_generalization,c02_A,02,A,45,0.2375,0.025,-0.1125,0.15,0.1125,0.125,0.2125
five_landmark_generalization,c02_A,02,A,46,0.0625,0.0125,0.0,-0.075,-0.025,0.0875,0.05
five_landmark_generalization,c02_A,02,A,47,0.0,0.0,0.0875,0.0,0.0,0.0,0.0
five_landmark_generalization,c02_A,02,A,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
