state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_beta_only,prediction_h10,prediction_h10_beta,prediction_h10_duplicate_corrected,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_h8,prediction_ridge_h10,prediction_ridge_h10_duplicate,prediction_state_only,prediction_legacy_prior,prediction_legacy_h9,prediction_legacy_beta,prediction_legacy_full
MECHCONF-c02-m131-g035,MECHCONF,02,131,35,40,76,1703,0.640625,0.65625,0.625,0.38201683028726247,0.5481592660889202,0.5882369957102689,0.5481593961019675,0.49125841352765326,0.52363877872784,0.4953098135718712,0.4507292223126968,0.5500827811055683,0.5500665129306366,0.3789251040350628,0.34825,0.4518870688728154,0.3693953087929174,0.48273536975907566
MECHCONF-c02-m131-g050,MECHCONF,02,131,50,40,36,2428,0.484375,0.5,0.46875,0.38201683028726247,0.3877451851737162,0.42180044606961087,0.3877453509005028,0.4090482119052992,0.43131686044671247,0.4620154705966599,0.40351473749836286,0.3902658638506094,0.39031149838704543,0.36856652855927013,0.34825,0.4049904443118294,0.3693953087929174,0.41351611453388565
MECHCONF-c02-m131-g065,MECHCONF,02,131,65,40,42,3086,0.78125,0.75,0.8125,0.38201683028726247,0.5594030340826942,0.5873378650668535,0.5594032670368125,0.6022977972062556,0.6175275071025276,0.6901524524245711,0.5945152636643678,0.5630442292610202,0.5630650408155122,0.6707285012750572,0.34825,0.5967012242502772,0.3693953087929174,0.6492803546729572
MECHCONF-c02-m131-g080,MECHCONF,02,131,80,40,41,3732,0.703125,0.78125,0.625,0.38201683028726247,0.3960544175146962,0.42675539196521967,0.39605456030542047,0.48685635228441076,0.5055910108284306,0.5152194294116333,0.40258727249662907,0.39858799329718686,0.39854199156275555,0.49654539075281656,0.34825,0.40395212918891166,0.3693953087929174,0.4740491988294085
MECHCONF-c03-m131-g020,MECHCONF,03,131,20,43,39,591,0.625,0.65625,0.59375,0.4628929687751118,0.46562351981103745,0.5031356413992588,0.46562382915928685,0.5239135865085092,0.5606001319170991,0.6618794507836945,0.46050977705169316,0.46328307201533747,0.4634508069677709,0.7066890644576612,0.38684375,0.45830790210691086,0.4514363866120261,0.5127767400585282
MECHCONF-c03-m131-g035,MECHCONF,03,131,35,42,42,1160,0.375,0.34375,0.40625,0.4628929687751118,0.25705630431810195,0.2981737029296165,0.2570564748619486,0.28499125304975853,0.31903093084002043,0.2945597593047554,0.21297633971427146,0.2567834206575995,0.2568872304508472,0.43013329701599606,0.38684375,0.2128516790193737,0.4514363866120261,0.25480437543141154
MECHCONF-c03-m131-g050,MECHCONF,03,131,50,39,44,1765,0.796875,0.75,0.84375,0.4628929687751118,0.45659714614328817,0.5001917177477897,0.4565971034221635,0.62353975994206,0.6484129393900568,0.7257781583464755,0.4236335105562469,0.45435459321631205,0.45436065309701573,0.7512636477245453,0.38684375,0.4212784837946297,0.4514363866120261,0.6486158362872009
MECHCONF-c03-m131-g065,MECHCONF,03,131,65,40,23,2255,0.484375,0.375,0.59375,0.4628929687751118,0.46699246662348465,0.4926008703321197,0.46699277573283204,0.4915012866863694,0.5144474396427228,0.5467748279761365,0.5079362345643261,0.46923819029594904,0.469235067391742,0.5134401099799221,0.38684375,0.5107340751857383,0.4514363866120261,0.5008438825879651
MECHCONF-c03-m131-g080,MECHCONF,03,131,80,44,39,2761,0.796875,0.875,0.71875,0.4628929687751118,0.5817341553482537,0.6006602182903812,0.5817316201605809,0.6939546811646335,0.6969781819714133,0.6717456663599644,0.6190335189830499,0.5487470360957476,0.5486518756201322,0.8094403443868083,0.38684375,0.5843698339015375,0.4514363866120261,0.6478687778277317
MECHCONF-c02-m132-g020,MECHCONF,02,132,20,40,5,256,0.0,0.0,0.0,0.3053063107508879,0.09534846474654368,0.08989579220127636,0.0953485103312657,0.05388363166531817,0.051185250260031546,0.015617086304712594,0.13272481081934923,0.09604239413325148,0.09606944298556765,0.04417391584744283,0.34825,0.13343040733541864,0.29100278670337304,0.009056527809048445
