source_cohort,candidate,half,metric,estimate,ci95_lower,ci95_upper,median,q05,q95,events,matrices
scaled5,03,combined,first_last_daughter_similarity,0.7058894884311895,0.7017129680371624,0.7102487893355918,0.7326550066034947,0.40319320013170407,0.9148836429736584,26671,200
scaled5,03,combined,minimum_pairwise_daughter_similarity,0.7003167746204253,0.696044767715441,0.7048479738283325,0.7272245789723618,0.4001827324474858,0.9068678569462647,26671,200
scaled5,03,combined,mean_pairwise_daughter_similarity,0.7932673665018696,0.7905311569442013,0.796046016272672,0.8059326223711453,0.6074999803648587,0.9318405414986546,26671,200
scaled5,03,combined,maximum_anchor_similarity,0.6801074673293099,0.671685995902077,0.6890067694525621,0.7171209872056548,0.33412550719088885,0.905976854205174,26671,200
scaled5,03,combined,mean_anchor_similarity,0.592924636365565,0.5838294442765778,0.6020039601375037,0.6175486818201322,0.260161639941035,0.8496819681066516,26671,200
scaled5,03,combined,onset_parent_to_final_daughter_similarity,0.7225474651107666,0.7182568095789738,0.7270780038206689,0.7524095212284454,0.41382773346401225,0.9254035813796302,26671,200
scaled5,03,combined,observed_inherited_run_length,5.952570207341307,5.852084525199805,6.054431036701253,6.0,3.0,11.0,26671,200
scaled5,03,combined,persistence_5_resolved,0.7594005084972568,0.7410583216692286,0.7777896223332802,1.0,0.0,1.0,22419,200
scaled5,03,combined,persistence_5_right_censored,0.15942409358479248,0.15317223598848329,0.165957289672685,0.0,0.0,1.0,26671,200
scaled5,03,combined,later_break_observed,0.37415170034869333,0.3517616481709551,0.3961725159951008,0.0,0.0,1.0,26671,200
scaled5,03,combined,second_renewal_after_later_break_observed,0.11551872820666642,0.1092374453062478,0.12143752976853445,0.0,0.0,1.0,26671,200
scaled5,03,A,first_last_daughter_similarity,0.7057636905099983,0.701141616285209,0.7103526179110606,0.7324055450461531,0.4021270794396294,0.9143355579749719,13372,200
scaled5,03,A,minimum_pairwise_daughter_similarity,0.7001014604191051,0.6953477746416116,0.704941216508985,0.7269609971029085,0.3996995021014119,0.9066726636944162,13372,200
scaled5,03,A,mean_pairwise_daughter_similarity,0.7930133335225609,0.7900593648354161,0.7961155080547883,0.8059615549301198,0.6061175272358209,0.9310902361304958,13372,200
scaled5,03,A,maximum_anchor_similarity,0.6806684230340357,0.6722051911593905,0.6897931210154808,0.7179514582041986,0.33492130850861884,0.9057531611576083,13372,200
scaled5,03,A,mean_anchor_similarity,0.5937094588425346,0.584492172257721,0.6029351447901534,0.6188661451658274,0.26167899289342883,0.8509303975512251,13372,200
scaled5,03,A,onset_parent_to_final_daughter_similarity,0.7225019979711608,0.7177785756175086,0.7277117610313983,0.7530637920624437,0.4109477500465386,0.9254012965529986,13372,200
scaled5,03,A,observed_inherited_run_length,5.976443314388274,5.876824936121953,6.081984739997538,6.0,3.0,11.0,13372,200
scaled5,03,A,persistence_5_resolved,0.7613596024139155,0.7428904247913596,0.7798761930804072,1.0,0.0,1.0,11268,200
scaled5,03,A,persistence_5_right_censored,0.15734370326054442,0.15030541748757398,0.1648658656591022,0.0,0.0,1.0,13372,200
scaled5,03,A,later_break_observed,0.373691295243793,0.3497207158111132,0.39672462558000005,0.0,0.0,1.0,13372,200
scaled5,03,A,second_renewal_after_later_break_observed,0.1174095124139994,0.11039616766885894,0.12427351267094386,0.0,0.0,1.0,13372,200
scaled5,03,B,first_last_daughter_similarity,0.7060159768740926,0.7017038494102592,0.7104072197095741,0.7328400736265088,0.4039019860373374,0.9152090413962056,13299,200
scaled5,03,B,minimum_pairwise_daughter_similarity,0.7005332707103611,0.6961486390993014,0.7050139512656581,0.7273106544090583,0.4012957797404562,0.9071485391732591,13299,200
scaled5,03,B,mean_pairwise_daughter_similarity,0.7935227939023747,0.790624994907949,0.7965122819839237,0.8058715252624459,0.6085363381824224,0.9323484359000683,13299,200
scaled5,03,B,maximum_anchor_similarity,0.6795434324632604,0.6710369226210772,0.6883677704390715,0.7163503994113789,0.33354978418250386,0.9063112925655376,13299,200
scaled5,03,B,mean_anchor_similarity,0.5921355058924439,0.5828810254114989,0.6016944279498869,0.6159503079663383,0.2585795407846092,0.8488927049540679,13299,200
scaled5,03,B,onset_parent_to_final_daughter_similarity,0.7225931818256182,0.7179857754170176,0.7271444684323075,0.7517446910173543,0.4197235834167258,0.9253871707188239,13299,200
scaled5,03,B,observed_inherited_run_length,5.9285660575983155,5.823700129821463,6.035670567402226,5.0,3.0,11.0,13299,200
scaled5,03,B,persistence_5_resolved,0.7574208591157744,0.737279125401457,0.7765907556298727,1.0,0.0,1.0,11151,200
scaled5,03,B,persistence_5_right_censored,0.16151590345138733,0.15334916676695762,0.17012615981269388,0.0,0.0,1.0,13299,200
scaled5,03,B,later_break_observed,0.3746146326791488,0.3501740233701798,0.39873461712170477,0.0,0.0,1.0,13299,200
