ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
0,20,protocell,False,"py=1e-02,ay=1e-06",True,8,10664
0,20,protocell,False,"py=1e-02,ay=1e-06",True,9,14992
0,20,protocell,False,"py=1e-02,ay=1e-06",True,10,11956
0,20,protocell,False,"py=1e-02,ay=1e-06",True,11,10636
0,20,protocell,False,"py=1e-02,ay=1e-06",True,12,15808
0,20,protocell,False,"py=1e-02,ay=1e-06",True,13,14996
0,20,protocell,False,"py=1e-02,ay=1e-06",True,14,12104
0,20,protocell,False,"py=1e-02,ay=1e-06",True,15,12096
0,0,protocell,False,"py=1e-03,ay=1e-02",False,0,4
0,0,protocell,False,"py=1e-03,ay=1e-02",False,1,48
0,0,protocell,False,"py=1e-03,ay=1e-02",False,2,72
0,0,protocell,False,"py=1e-03,ay=1e-02",False,3,16
0,0,protocell,False,"py=1e-03,ay=1e-02",False,4,52
0,0,protocell,False,"py=1e-03,ay=1e-02",False,5,64
0,0,protocell,False,"py=1e-03,ay=1e-02",False,6,56
0,0,protocell,False,"py=1e-03,ay=1e-02",False,7,108
0,0,protocell,False,"py=1e-03,ay=1e-02",False,8,16
0,0,protocell,False,"py=1e-03,ay=1e-02",False,9,260
0,0,protocell,False,"py=1e-03,ay=1e-02",False,10,40
0,0,protocell,False,"py=1e-03,ay=1e-02",False,11,28
0,0,protocell,False,"py=1e-03,ay=1e-02",False,12,4
0,0,protocell,False,"py=1e-03,ay=1e-02",False,13,76
0,0,protocell,False,"py=1e-03,ay=1e-02",False,14,104
0,0,protocell,False,"py=1e-03,ay=1e-02",False,15,36
0,0,protocell,False,"py=1e-03,ay=1e-03",False,0,276
0,0,protocell,False,"py=1e-03,ay=1e-03",False,1,396
0,0,protocell,False,"py=1e-03,ay=1e-03",False,2,68
0,0,protocell,False,"py=1e-03,ay=1e-03",False,3,672
0,0,protocell,False,"py=1e-03,ay=1e-03",False,4,108
0,0,protocell,False,"py=1e-03,ay=1e-03",False,5,1740
